location_name,MOH,smell_category,year,centroid_lat,centroid_lon,no_smells
Barking and Dagenham,"Barking (London, England). Borough.",sewer,1935,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",sewer,1937,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",sewer,1949,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Urban District Council.",thames_water,1898,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Urban District Council.",thames_water,1913,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Urban District Council.",thames_water,1914,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",thames_water,1938,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Borough Council.",thames_water,1951,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Borough Council.",thames_water,1957,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",thames_water,1962,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Urban District Council.",trade,1924,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",trade,1931,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",waste_rubbish,1932,51.54396,0.13317,1
Barnet,"Friern Barnet (London, England). Urban District Council.",Uncategorised,1895,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Urban District Council.",Uncategorised,1911,51.616027,-0.210017,2
Barnet,"Hendon (London, England). Rural District Council.",Uncategorised,1915,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",Uncategorised,1945,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",Uncategorised,1953,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",Uncategorised,1956,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",Uncategorised,1959,51.616027,-0.210017,2
Barnet,"Finchley (London, England). Municipal Borough.",Uncategorised,1960,51.616027,-0.210017,2
Barnet,"Friern Barnet (London, England). Urban District Council.",Uncategorised,1961,51.616027,-0.210017,2
Barnet,"Finchley (London, England). Urban District Council.",air_gas,1895,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Urban District Council.",air_gas,1907,51.616027,-0.210017,1
Barnet,"Barnet (London, England). Urban District Council.",air_gas,1911,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",air_gas,1937,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Urban District Council.",decomposition,1895,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",factory_fuel,1938,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,food,1910,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,food,1955,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,food,1959,51.616027,-0.210017,1
Barnet,"Barnet (London, England). Urban District Council.",food,1960,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,no_smell,1895,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",sewer,1894,51.616027,-0.210017,6
Barnet,"Friern Barnet (London, England). Urban District Council.",sewer,1895,51.616027,-0.210017,4
Barnet,East Barnet (England). Urban District Council.,sewer,1897,51.616027,-0.210017,3
Barnet,"Finchley (London, England). Urban District Council.",sewer,1904,51.616027,-0.210017,2
Barnet,"Finchley (London, England). Urban District Council.",sewer,1908,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Urban District Council.",sewer,1911,51.616027,-0.210017,2
Barnet,"Finchley (London, England). Urban District Council.",sewer,1913,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",sewer,1914,51.616027,-0.210017,2
Barnet,"Finchley (London, England). Urban District Council.",sewer,1925,51.616027,-0.210017,2
Barnet,"Finchley (London, England). Urban District Council.",sewer,1928,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1934,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1935,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1936,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1937,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1938,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1947,51.616027,-0.210017,2
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1953,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1954,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1955,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1956,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1957,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Municipal Borough.",sewer,1958,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",sewer,1959,51.616027,-0.210017,2
Barnet,"Friern Barnet (London, England). Urban District Council.",sewer,1960,51.616027,-0.210017,2
Barnet,"Friern Barnet (London, England). Urban District Council.",sewer,1961,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",sewer,1962,51.616027,-0.210017,2
Barnet,"Friern Barnet (London, England). Urban District Council.",sewer,1963,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",sewer,1964,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",thames_water,1937,51.616027,-0.210017,2
Barnet,East Barnet (England). Urban District Council.,thames_water,1942,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,thames_water,1943,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,thames_water,1944,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,thames_water,1945,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,thames_water,1946,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,thames_water,1947,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,thames_water,1948,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,thames_water,1949,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,thames_water,1950,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,thames_water,1951,51.616027,-0.210017,1
Barnet,"Hendon (London, England). Municipal Borough.",thames_water,1962,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Urban District Council.",trade,1894,51.616027,-0.210017,1
Barnet,"Finchley (London, England). Urban District Council.",trade,1905,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",trade,1911,51.616027,-0.210017,2
Barnet,"Finchley (London, England). Urban District Council.",waste_rubbish,1894,51.616027,-0.210017,1
Barnet,"Friern Barnet (London, England). Urban District Council.",waste_rubbish,1895,51.616027,-0.210017,1
Barnet,"Hendon (London, England). Urban District Council.",waste_rubbish,1896,51.616027,-0.210017,1
Barnet,East Barnet (England). Urban District Council.,waste_rubbish,1955,51.616027,-0.210017,1
Bexley,"Erith (London, England). Municipal Borough.",Uncategorised,1949,51.46088,0.142359,2
Bexley,"Erith (London, England). Municipal Borough.",Uncategorised,1954,51.46088,0.142359,1
Bexley,"Erith (London, England). Municipal Borough.",Uncategorised,1963,51.46088,0.142359,1
Bexley,"Bexley (London, England). Borough Council.",Uncategorised,1965,51.46088,0.142359,1
Bexley,"Erith (London, England). Municipal Borough.",factory_fuel,1961,51.46088,0.142359,1
Bexley,"Crayford (London, England). Urban District Council.",factory_fuel,1962,51.46088,0.142359,1
Bexley,"Bexley (London, England). Urban District Council.",sewer,1913,51.46088,0.142359,2
Bexley,"Erith (London, England). Municipal Borough.",sewer,1951,51.46088,0.142359,1
Bexley,"Erith (London, England). Municipal Borough.",sewer,1957,51.46088,0.142359,1
Bexley,"Erith (London, England). Municipal Borough.",sewer,1960,51.46088,0.142359,1
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1949,51.46088,0.142359,4
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1950,51.46088,0.142359,6
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1951,51.46088,0.142359,3
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1952,51.46088,0.142359,4
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1953,51.46088,0.142359,4
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1954,51.46088,0.142359,4
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1955,51.46088,0.142359,3
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1956,51.46088,0.142359,2
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1957,51.46088,0.142359,2
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1958,51.46088,0.142359,2
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1961,51.46088,0.142359,1
Bexley,"Erith (London, England). Municipal Borough.",thames_water,1962,51.46088,0.142359,1
Bexley,"Crayford (London, England). Urban District Council.",trade,1961,51.46088,0.142359,1
Bexley,"Crayford (London, England). Urban District Council.",trade,1962,51.46088,0.142359,1
Bexley,"Erith (London, England). Municipal Borough.",waste_rubbish,1944,51.46088,0.142359,1
Bexley,"Bexley (London, England). Borough Council.",waste_rubbish,1971,51.46088,0.142359,1
Brent,"Willesden (London, England). Urban District Council.",Uncategorised,1924,51.558556,-0.267821,2
Brent,"Willesden (London, England). Municipal Borough.",Uncategorised,1937,51.558556,-0.267821,1
Brent,"Willesden (London, England). Municipal Borough.",Uncategorised,1938,51.558556,-0.267821,2
Brent,"Wembley (London, England). Municipal Borough.",Uncategorised,1946,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",Uncategorised,1956,51.558556,-0.267821,3
Brent,"Wembley (London, England). Municipal Borough.",Uncategorised,1957,51.558556,-0.267821,4
Brent,"Wembley (London, England). Municipal Borough.",Uncategorised,1959,51.558556,-0.267821,5
Brent,"Wembley (London, England). Municipal Borough.",Uncategorised,1960,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",air_gas,1897,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",air_gas,1898,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",air_gas,1938,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",air_gas,1946,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",air_gas,1957,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",air_gas,1959,51.558556,-0.267821,1
Brent,"Willesden (London, England). Municipal Borough.",air_gas,1960,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",factory_fuel,1919,51.558556,-0.267821,1
Brent,"Willesden (London, England). Municipal Borough.",factory_fuel,1938,51.558556,-0.267821,1
Brent,"Brent (London, England). Council. n 91051650",factory_fuel,1972,51.558556,-0.267821,1
Brent,"Willesden (London, England). Municipal Borough.",food,1933,51.558556,-0.267821,1
Brent,"Wembley (London, England). Urban District Council.",food,1935,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",food,1957,51.558556,-0.267821,1
Brent,"Willesden (London, England). Municipal Borough.",food,1961,51.558556,-0.267821,1
Brent,"Brent (London, England). Council. n 91051650",food,1972,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",habitation,1913,51.558556,-0.267821,1
Brent,"Willesden (London, England). Municipal Borough.",habitation,1959,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",school,1914,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",school,1920,51.558556,-0.267821,1
Brent,"Willesden (London, England). Local Board.",sewer,1893,51.558556,-0.267821,2
Brent,"Willesden (London, England). Urban District Council.",sewer,1895,51.558556,-0.267821,2
Brent,"Willesden (London, England). Urban District Council.",sewer,1896,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",sewer,1898,51.558556,-0.267821,2
Brent,"Willesden (London, England). Urban District Council.",sewer,1904,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",sewer,1914,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1938,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1939,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1945,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1946,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1947,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1948,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1949,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1950,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1952,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1953,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1958,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1959,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",sewer,1964,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",thames_water,1898,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",thames_water,1945,51.558556,-0.267821,2
Brent,"Wembley (London, England). Municipal Borough.",thames_water,1947,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",thames_water,1948,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",thames_water,1956,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",thames_water,1957,51.558556,-0.267821,1
Brent,"Willesden (London, England). Municipal Borough.",thames_water,1960,51.558556,-0.267821,2
Brent,"Wembley (London, England). Municipal Borough.",thames_water,1961,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",thames_water,1962,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",thames_water,1963,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",thames_water,1964,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",trade,1898,51.558556,-0.267821,1
Brent,"Wembley (London, England). Urban District Council.",trade,1902,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",trade,1920,51.558556,-0.267821,3
Brent,"Wembley (London, England). Municipal Borough.",trade,1957,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",trade,1962,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_excrement,1949,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_excrement,1964,51.558556,-0.267821,1
Brent,"Wembley (London, England). Urban District Council.",waste_rubbish,1902,51.558556,-0.267821,1
Brent,"Willesden (London, England). Urban District Council.",waste_rubbish,1910,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1938,51.558556,-0.267821,2
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1947,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1948,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1949,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1950,51.558556,-0.267821,4
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1951,51.558556,-0.267821,2
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1952,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1953,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1954,51.558556,-0.267821,2
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1955,51.558556,-0.267821,2
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1956,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1957,51.558556,-0.267821,5
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1958,51.558556,-0.267821,6
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1959,51.558556,-0.267821,3
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1960,51.558556,-0.267821,2
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1961,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1962,51.558556,-0.267821,1
Brent,"Wembley (London, England). Municipal Borough.",waste_rubbish,1963,51.558556,-0.267821,1
Bromley,"Bromley (London, England). Rural District Council.",Uncategorised,1898,51.371999,0.051524,1
Bromley,"Penge (Kent, England). Urban District Council.",Uncategorised,1913,51.371999,0.051524,3
Bromley,Chislehurst and Sidcup (England). Urban District Council.,Uncategorised,1958,51.371999,0.051524,1
Bromley,"Orpington (London, England). Urban District Council.",Uncategorised,1959,51.371999,0.051524,1
Bromley,"Orpington (London, England). Urban District Council.",Uncategorised,1963,51.371999,0.051524,1
Bromley,"Penge (Kent, England). Urban District Council.",air_gas,1913,51.371999,0.051524,3
Bromley,"Bromley (London, England). Municipal Borough.",air_gas,1925,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",air_gas,1971,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",decomposition,1966,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",decomposition,1970,51.371999,0.051524,2
Bromley,"Orpington (London, England). Urban District Council.",factory_fuel,1948,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",factory_fuel,1965,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",factory_fuel,1972,51.371999,0.051524,1
Bromley,"Penge (Kent, England). Urban District Council.",food,1909,51.371999,0.051524,1
Bromley,"Beckenham (London, England). Borough Council.",food,1947,51.371999,0.051524,1
Bromley,"Bromley (London, England). Municipal Borough.",food,1949,51.371999,0.051524,1
Bromley,"Bromley (London, England). Municipal Borough.",food,1950,51.371999,0.051524,1
Bromley,"Orpington (London, England). Urban District Council.",food,1951,51.371999,0.051524,2
Bromley,Chislehurst and Sidcup (England). Urban District Council.,food,1962,51.371999,0.051524,4
Bromley,"Orpington (London, England). Urban District Council.",food,1963,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",food,1965,51.371999,0.051524,3
Bromley,"Bromley (London, England). London Borough.",food,1966,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",food,1968,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",food,1969,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",food,1970,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",food,1971,51.371999,0.051524,1
Bromley,"Penge (Kent, England). Urban District Council.",habitation,1950,51.371999,0.051524,1
Bromley,"Bromley (London, England). Urban District Council.",sewer,1898,51.371999,0.051524,3
Bromley,"Bromley (London, England). Municipal Borough.",sewer,1905,51.371999,0.051524,1
Bromley,Chislehurst (England). Urban District Council.,sewer,1910,51.371999,0.051524,1
Bromley,Chislehurst (England). Urban District Council.,sewer,1911,51.371999,0.051524,3
Bromley,"Penge (Kent, England). Urban District Council.",sewer,1913,51.371999,0.051524,2
Bromley,Chislehurst (England). Urban District Council.,sewer,1914,51.371999,0.051524,2
Bromley,"Beckenham (London, England). Urban District Council.",sewer,1920,51.371999,0.051524,2
Bromley,Chislehurst (England). Urban District Council.,sewer,1925,51.371999,0.051524,2
Bromley,"Bromley (London, England). Municipal Borough.",sewer,1934,51.371999,0.051524,1
Bromley,"Orpington (London, England). Urban District Council.",sewer,1948,51.371999,0.051524,1
Bromley,Chislehurst and Sidcup (England). Urban District Council.,sewer,1959,51.371999,0.051524,1
Bromley,Chislehurst and Sidcup (England). Urban District Council.,sewer,1960,51.371999,0.051524,1
Bromley,Chislehurst and Sidcup (England). Urban District Council.,sewer,1961,51.371999,0.051524,1
Bromley,Chislehurst and Sidcup (England). Urban District Council.,sewer,1962,51.371999,0.051524,1
Bromley,Chislehurst and Sidcup (England). Urban District Council.,sewer,1963,51.371999,0.051524,1
Bromley,"Bromley (London, England). London Borough.",sewer,1966,51.371999,0.051524,1
Bromley,"Beckenham (London, England). Urban District Council. nb2010007086",thames_water,1908,51.371999,0.051524,1
Bromley,"Penge (Kent, England). Urban District Council.",thames_water,1913,51.371999,0.051524,1
Bromley,Chislehurst and Sidcup (England). Urban District Council.,thames_water,1959,51.371999,0.051524,1
Bromley,"Penge (Kent, England). Urban District Council.",thames_water,1963,51.371999,0.051524,2
Bromley,"Bromley (London, England). Municipal Borough.",trade,1911,51.371999,0.051524,1
Bromley,Chislehurst and Sidcup (England). Urban District Council.,trade,1949,51.371999,0.051524,1
Bromley,"Beckenham (London, England). Borough Council.",trade,1950,51.371999,0.051524,1
Bromley,"Bromley (London, England). Municipal Borough.",waste_rubbish,1904,51.371999,0.051524,1
Bromley,"Bromley (London, England). Municipal Borough.",waste_rubbish,1905,51.371999,0.051524,4
Bromley,"Penge (Kent, England). Urban District Council.",waste_rubbish,1962,51.371999,0.051524,1
Camden,"St. Pancras (London, England). Borough. Vestry.",Uncategorised,1856,51.546394,-0.157424,3
Camden,"St. Giles (London, England). Board of Works.",Uncategorised,1857,51.546394,-0.157424,1
Camden,"St. Giles (London, England). District Council.",Uncategorised,1858,51.546394,-0.157424,1
Camden,"St. Pancras (London, England). Borough. Vestry.",Uncategorised,1865,51.546394,-0.157424,1
Camden,"St. Giles (London, England). District Council.",Uncategorised,1889,51.546394,-0.157424,1
Camden,"St. Pancras (London, England). Borough. Vestry.",Uncategorised,1891,51.546394,-0.157424,1
Camden,"St. Pancras (London, England). Borough. Vestry.",Uncategorised,1892,51.546394,-0.157424,3
Camden,"St. Pancras (London, England). Metropolitan Borough.",Uncategorised,1902,51.546394,-0.157424,2
Camden,"Hampstead (London, England). Metropolitan Borough.",Uncategorised,1903,51.546394,-0.157424,4
Camden,"Hampstead (London, England). Metropolitan Borough.",Uncategorised,1904,51.546394,-0.157424,2
Camden,"St. Pancras (London, England). Metropolitan Borough.",Uncategorised,1905,51.546394,-0.157424,2
Camden,"St. Pancras (London, England). Metropolitan Borough.",Uncategorised,1908,51.546394,-0.157424,2
Camden,"St. Pancras (London, England). Metropolitan Borough.",Uncategorised,1910,51.546394,-0.157424,1
Camden,"Hampton (London, England). Urban District Council.",Uncategorised,1911,51.546394,-0.157424,1
Camden,"St. Pancras (London, England). Metropolitan Borough.",Uncategorised,1912,51.546394,-0.157424,1
Camden,"St. Pancras (London, England). Metropolitan Borough.",Uncategorised,1913,51.546394,-0.157424,1
Camden,"Hampton (London, England). Urban District Council.",Uncategorised,1914,51.546394,-0.157424,1
Camden,"Holborn (London, England). Metropolitan Borough.",Uncategorised,1923,51.546394,-0.157424,2
Camden,"Holborn (London, England). Metropolitan Borough.",Uncategorised,1925,51.546394,-0.157424,1
Camden,"Holborn (London, England). Metropolitan Borough.",Uncategorised,1926,51.546394,-0.157424,1
Camden,"Holborn (London, England). Metropolitan Borough.",Uncategorised,1928,51.546394,-0.157424,1
Camden,"Holborn (London, England). Metropolitan Borough.",Uncategorised,1932,51.546394,-0.157424,1
Camden,"Holborn (London, England). Metropolitan Borough.",Uncategorised,1936,51.546394,-0.157424,2
Camden,"Hampstead (London, England). Metropolitan Borough.",Uncategorised,1963,51.546394,-0.157424,1
Camden,"St. Giles (London, England). District Council.",air_gas,1870,51.546394,-0.157424,2
Camden,"St. Pancras (London, England). Borough. Vestry.",air_gas,1876,51.546394,-0.157424,3
Camden,"St. Giles (London, England). District Council.",air_gas,1892,51.546394,-0.157424,1
Camden,"St. Pancras (London, England). Borough. Vestry.",air_gas,1895,51.546394,-0.157424,1
Camden,"St. Pancras (London, England). Borough. Vestry.",air_gas,1898,51.546394,-0.157424,3
Camden,"Hampstead (London, England). Metropolitan Borough.",air_gas,1904,51.546394,-0.157424,1
Camden,"St. Pancras (London, England). Metropolitan Borough.",air_gas,1905,51.546394,-0.157424,2
Camden,"St. Pancras (London, England). Metropolitan Borough.",air_gas,1906,51.546394,-0.157424,1
Camden,"Holborn (London, England). Metropolitan Borough.",air_gas,1938,51.546394,-0.157424,1
Camden,"St. Pancras (London, England). Borough. Vestry.",animal,1856,51.546394,-0.157424,2
Camden,"St. Pancras (London, England). Borough. Vestry.",animal,1859,51.546394,-0.157424,1
Camden,"St. Giles (London, England). Board of Works.",animal,1871,51.546394,-0.157424,1
Camden,"St. Giles (London, England). Board of Works.",animal,1877,51.546394,-0.157424,1
Camden,"St. Giles (London, England). Board of Works.",animal,1896,51.546394,-0.157424,1
