publisher_loc,object_ID,year,label,title,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Islington, Metropolitan Borough of",B18248597,1859,Page 024,B18248597,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1848-1859.xml/Islington.1859.b18248597.xml/10182485900550030.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,14,15,16,17,18,19,20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Streets, Districts and Hospitals.",St. Mary's Hospital,Paddington Workhouse,Lock Hospital,"Praed Street, including (1)",Harrow Road & N. W. Road (2),Hall Park District (3),Amberley Road District (4),Kilburn District (5),Clarendon Street,Woodchester Street,Cirencester Street,Brindley Street,"Hampden Street, &c. (6)","Westbourne Terrace North, &c. (7)","Woodfield Road, &c. (8)","Moscow Road,Salem Gardens,&c.(9)",Squares and Mansions (10),Mews and Stables,"Other Places, including (11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, & c.",..,..,..,1,1,..,..,,..,..,..,..,1,,..,..,1,..,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,B19955194,1868,Page 001,B19955194,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Paddington.1868.b19955194.xml/10199551900810045.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Weeks. ending,Oct. 3,,,,,Nov 7,,,,Dec 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, Quinsy & Croup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,B19955194,1868,Page 005,B19955194,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Paddington.1868.b19955194.xml/10199551900850050.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Streets, Districts and Hospitals.",St. Mary's Hospital,Paddington Workhouse,Lock Hospital,"Praed Street, including (1)",Harrow Road & N. W. Road (2),Hall Park District (3),Amberley Road District (4),Kilburn District (5),Clarendon Street,Woodchester Street,Cirencester Street,Brindley Street,"Hampden Street, &c. (6)","Westbourne Terrace North, &c. (7)","Woodfield Road, &c. (8)","Moscow Road,Salem Gardens,&c.(9)",Squares and Mansions (10),Mews and Stables,"Other Places, including (11)",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, & c.",..,..,..,1,1,2,..,..,1,..,..,..,..,..,1,..,..,..,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,B19955194,1868,Page 007,B19955194,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Paddington.1868.b19955194.xml/10199551900870052.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Weeks. ending,Jan. 2,,,,,Feb. 6,,,,March 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, Quinsy & Croup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,B19955200,1869,Page 005,B19955200,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Paddington.1869.b19955200.xml/10199552000850036.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Streets, Districts and Hospitals.",St. Mary's Hospital,Paddington Workhouse,Lock Hospital,"Praed Street, including (1)",Harrow Road & N.W. Road (2),Hall Park District (3),Amberley Road District (4),Kilbrurn District (5),Clarendon Street,Woodchester Street,Cirencester Street,Brindley Street,"Hampden Street, &c. (6)","Westbourne Terrace North, &c. (7)","Woodfield Road, &c.(8)","Moscow Road,Salem Gardens,&c.(9)",Squares and Mansions (10),Mews and Stables,"Other Places, including (11)",Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, &c.",..,..,..,..,. .,. .,. .,..,..,..,..,. .,..,..,..,. .,1,..,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,B19955200,1869,Page 002,B19955200,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Paddington.1869.b19955200.xml/10199552000900039.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Weeks, ending",July 3,„ 10,„ 17,„ 24,„ 31,Aug. 7,„ 14,„ 21,„28,Sept. 4,„ 11,„ 18,„ 25,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, Quinsy & Croup.",...,...,...,...,...,...,...,...,...,...,...,...,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,B19955200,1869,Page 005,B19955200,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1860-1869.xml/Paddington.1869.b19955200.xml/10199552000930043.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
